coordinate_index,time_seconds,vehicle_id,x,y,z,transport,tcp_variant,throughput_mbps,packet_delivery_ratio,packet_loss_ratio,average_delay_ms,average_jitter_ms,rss_dbm,path_gain_db,sinr_db,valid_paths,retransmissions,average_rtt_ms,final_cwnd,average_cwnd,distance_from_tx_m,valid_paths_count,los_available,los_present,strongest_path_delay_ns,lostPackets,mean_tap_side_rx_interarrival_s,packet_window_end_s,packet_window_start_s,returncode,rxBytes,rxPackets,sionna_recomputed_for_step,txBytes,txPackets
10,11.0,car_1,-72.58350775013257,-25.193618440144533,1.5,tcp,TcpNewReno,0.0,0.0,0.0,,,-277.0,-300.0,-180.0,1,10,130.96601941747574,1024.0,65115.66106442577,122.31081225106792,1,True,True,407.9849418303638,0,,10.9,10.0,0,0,0,True,0,0
11,12.0,car_1,-74.43685452584145,-20.52121291985204,1.5,tcp,TcpNewReno,0.015519999999999994,1.5,0.0,,,-64.82352447509766,-87.82352447509766,32.176475524902344,1,10,130.96601941747574,1024.0,65115.66106442577,123.93266765983209,1,True,True,413.39484369018464,0,0.00139052,11.8,10.9,0,1746,3,True,1024,2
12,13.0,car_1,-77.01082584409454,-14.03206693049442,1.5,tcp,TcpNewReno,0.005173333333333341,0.0,0.0,,,-63.986328125,-86.986328125,33.013671875,1,10,130.96601941747574,1024.0,65115.66106442577,126.48235804053768,1,True,True,421.8997275984293,0,,12.7,11.8,0,582,1,True,0,0
13,14.0,car_1,-80.52830082060213,-5.164287995039452,1.5,tcp,TcpNewReno,0.0,0.0,0.0,,,-277.0,-300.0,-180.0,1,10,130.96601941747574,1024.0,65115.66106442577,130.49105271432808,1,True,True,435.27126081244205,0,,13.6,12.7,0,0,0,True,0,0
14,15.0,car_1,-84.68265210093976,5.309096754050032,1.5,tcp,TcpNewReno,0.015519999999999994,1.5,0.0,,,-277.0,-300.0,-180.0,1,10,130.96601941747574,1024.0,65115.66106442577,135.93747553455788,1,True,True,453.4385880106129,0,0.00120902,14.5,13.6,0,1746,3,True,1024,2
15,16.0,car_1,-89.36166161694959,17.105178404092676,1.5,tcp,TcpNewReno,0.005173333333333331,0.0,0.0,,,-55.21154022216797,-78.21154022216797,41.78845977783203,1,10,130.96601941747574,1024.0,65115.66106442577,142.8893371732612,1,True,True,476.62754809607577,0,,15.4,14.5,0,582,1,True,0,0
16,17.0,car_1,-94.14759773352458,29.170828839262278,1.5,tcp,TcpNewReno,0.0,0.0,0.0,,,-277.0,-300.0,-180.0,1,10,130.96601941747574,1024.0,65115.66106442577,150.77542990725263,1,True,True,502.93266440348816,0,,16.3,15.4,0,0,0,True,0,0
17,18.0,car_1,-98.92625950898213,41.218140196155154,1.5,tcp,TcpNewReno,0.015520000000000023,1.5,0.0,,,-277.0,-300.0,-180.0,1,10,130.96601941747574,1024.0,65115.66106442577,159.31660372556027,1,True,True,533.116178758064,0,0.00143552,17.2,16.3,0,1746,3,True,1024,2
18,19.0,car_1,-103.60494014599719,53.01339272125973,1.5,tcp,TcpNewReno,0.0051733333333333215,0.0,0.0,,,-277.0,-300.0,-180.0,1,10,130.96601941747574,1024.0,65115.66106442577,168.2272062175915,1,True,True,562.7493351312296,0,,18.1,17.2,0,582,1,True,0,0
19,20.0,car_1,-108.41657671827623,65.14383564571384,1.5,tcp,TcpNewReno,0.009802105263157902,0.0,0.0,,,-277.0,-300.0,-180.0,1,10,130.96601941747574,1024.0,65115.66106442577,177.87028562183124,1,True,True,594.8285206613946,0,0.057146013,20.0,18.1,0,2328,4,True,0,0
